tag_id	tag_name	category	rule	confidence	review_recommended
	rhythm and blues	genre	wikidata_property:P136	0.9	0
	Purley	setting	wikidata_property:P840	0.8	0
	self-acceptance	subject	wikidata_property:P921	0.85	0
	Psycho tetralogy	franchise	wikidata_property:P179	0.8	0
	consumerism	subject	wikidata_property:P921	0.85	0
	first contact fiction	subject	wikidata_property:P921	0.85	0
	debt collection	subject	wikidata_property:P921	0.85	0
	People's Republic of China	country	wikidata_property:P495	0.85	0
	experimental hip-hop	genre	wikidata_property:P136	0.9	0
	work	subject	wikidata_property:P180	0.85	0
	dwarf	subject	wikidata_property:P180	0.85	0
	trial film	genre	wikidata_property:P136	0.9	0
	DC Extended Universe	franchise	wikidata_property:P179	0.8	0
	mental disorder	subject	wikidata_property:P921	0.85	0
	contagiousness	subject	wikidata_property:P921	0.85	0
	American realism	movement	wikidata_property:P135	0.9	0
	time travel	subject	wikidata_property:P921	0.85	0
	Los Angeles Police Department	subject	wikidata_property:P921	0.85	0
	country rock	genre	wikidata_property:P136	0.9	0
	nudity	subject	wikidata_property:P921	0.85	0
	Brazil	country	wikidata_property:P495	0.85	0
	spoken word	genre	wikidata_property:P136	0.9	0
	ethereal wave	genre	wikidata_property:P136	0.9	0
	outlaw biker film	genre	wikidata_property:P136	0.9	0
	dark wave	genre	wikidata_property:P136	0.9	0
	musical comedy	genre	wikidata_property:P136	0.9	0
	Death Star	setting	wikidata_property:P840	0.8	0
	Yavin 4	setting	wikidata_property:P840	0.8	0
	magic realism	movement	wikidata_property:P135	0.9	0
	magic realism	genre	wikidata_property:P136	0.9	0
	Macondo	setting	wikidata_property:P840	0.8	0
	historical fiction	genre	wikidata_property:P136	0.9	0
	Hispaniola	setting	wikidata_property:P840	0.8	0
	Treasure Island	setting	wikidata_property:P840	0.8	0
	union	subject	wikidata_property:P921	0.85	0
	Portuguese	language	wikidata_property:P407	0.85	0
	Illinois	setting	wikidata_property:P840	0.8	0
	Jaws	franchise	wikidata_property:P179	0.8	0
	Massachusetts	setting	wikidata_property:P840	0.8	0
	ecology	subject	wikidata_property:P921	0.85	0
	Ananke	subject	wikidata_property:P180	0.85	0
	place de l'Hôtel-de-Ville - Esplanade de la Libération	setting	wikidata_property:P840	0.8	0
	jazz fusion	genre	wikidata_property:P136	0.9	0
	The Complete Works	franchise	wikidata_property:P361	0.75	0
	Emerald City	setting	wikidata_property:P840	0.8	0
	sexual fantasy	subject	wikidata_property:P921	0.85	0
	New Mexico	setting	wikidata_property:P840	0.8	0
	drama television series	genre	wikidata_property:P136	0.9	0
	invasion literature	genre	wikidata_property:P136	0.9	0
	Martians	subject	wikidata_property:P180	0.85	0
	rose	subject	wikidata_property:P180	0.85	0
	X-Men	franchise	wikidata_property:P179	0.8	0
	Springfield	setting	wikidata_property:P840	0.8	0
	doomsday	subject	wikidata_property:P921	0.85	0
	psychedelic pop	genre	wikidata_property:P136	0.9	0
	Chile	country	wikidata_property:P495	0.85	0
	National Reorganization Process	subject	wikidata_property:P921	0.85	0
	addiction	subject	wikidata_property:P921	0.85	0
	Parma	setting	wikidata_property:P840	0.8	0
	Kinkaku-ji Temple	subject	wikidata_property:P180	0.85	0
	Kyoto	setting	wikidata_property:P840	0.8	0
	action comics	genre	wikidata_property:P136	0.9	0
	marriage	subject	wikidata_property:P921	0.85	0
	Mulholland Drive	setting	wikidata_property:P840	0.8	0
	liberty	subject	wikidata_property:P921	0.85	0
	identity	subject	wikidata_property:P921	0.85	0
	discontinuity	subject	wikidata_property:P921	0.85	0
	cruelty	subject	wikidata_property:P921	0.85	0
	exorcism	subject	wikidata_property:P921	0.85	0
	ancient astronauts	subject	wikidata_property:P921	0.85	0
	British Hong Kong	country	wikidata_property:P495	0.85	0
	Belgium	country	wikidata_property:P495	0.85	0
	Mexico City	setting	wikidata_property:P840	0.8	0
	theatre of the absurd	genre	wikidata_property:P136	0.9	0
	Belgium	setting	wikidata_property:P840	0.8	0
	Israel	country	wikidata_property:P495	0.85	0
	Toledo	setting	wikidata_property:P840	0.8	0
	Grand Duchy of Tuscany	setting	wikidata_property:P840	0.8	0
	high literature	genre	wikidata_property:P136	0.9	0
	loyalty	subject	wikidata_property:P921	0.85	0
	Polish–Lithuanian Commonwealth	setting	wikidata_property:P840	0.8	0
	truth	subject	wikidata_property:P921	0.85	0
	Whitby	setting	wikidata_property:P840	0.8	0
	Bistrița	setting	wikidata_property:P840	0.8	0
	Siret	setting	wikidata_property:P840	0.8	0
	Galați	setting	wikidata_property:P840	0.8	0
	shoegaze	genre	wikidata_property:P136	0.9	0
	rapping	genre	wikidata_property:P136	0.9	0
	thrash metal	genre	wikidata_property:P136	0.9	0
	historiography	subject	wikidata_property:P921	0.85	0
	social hierarchy	subject	wikidata_property:P921	0.85	0
	emotional competence	subject	wikidata_property:P921	0.85	0
	Spider-Man trilogy	franchise	wikidata_property:P179	0.8	0
	adventure travel	subject	wikidata_property:P921	0.85	0
	eugenics	subject	wikidata_property:P921	0.85	0
	traditional pop	genre	wikidata_property:P136	0.9	0
	Thailand	country	wikidata_property:P495	0.85	0
	hanging to death	subject	wikidata_property:P180	0.85	0
	death metal	genre	wikidata_property:P136	0.9	0
	baroque pop	genre	wikidata_property:P136	0.9	0
	travel	subject	wikidata_property:P921	0.85	0
	Mothra	subject	wikidata_property:P921	0.85	0
	Cumbria	setting	wikidata_property:P840	0.8	0
	cruelty to animals	subject	wikidata_property:P921	0.85	0
	Portugal	setting	wikidata_property:P840	0.8	0
	action game	genre	wikidata_property:P136	0.9	0
	Brest	setting	wikidata_property:P840	0.8	0
	psychosis	subject	wikidata_property:P921	0.85	0
	criminality	subject	wikidata_property:P921	0.85	0
	British Hong Kong	setting	wikidata_property:P840	0.8	0
	ninja film	genre	wikidata_property:P136	0.9	0
	LGBT rights in the United States	subject	wikidata_property:P921	0.85	0
	Triton	setting	wikidata_property:P840	0.8	0
	fictional painting	subject	wikidata_property:P180	0.85	0
	adoption	subject	wikidata_property:P921	0.85	0
	technology	subject	wikidata_property:P921	0.85	0
	triangular trade	subject	wikidata_property:P921	0.85	0
	The Texas Chainsaw Massacre	franchise	wikidata_property:P179	0.8	0
	Thebes	setting	wikidata_property:P840	0.8	0
	disfigurement	subject	wikidata_property:P921	0.85	0
	mass murder	subject	wikidata_property:P921	0.85	0
	Lusatia	setting	wikidata_property:P840	0.8	0
	children's book	genre	wikidata_property:P136	0.9	0
	Edo	setting	wikidata_property:P840	0.8	0
	outsider	subject	wikidata_property:P921	0.85	0
	multiple languages	language	wikidata_property:P407	0.85	0
	Golden Age of Porn	genre	wikidata_property:P136	0.9	0
	The Hills Have Eyes	franchise	wikidata_property:P179	0.8	0
1	abject_body	other	fallback:other	0.5	1
2	abject_maternal	other	fallback:other	0.5	1
3	abject_witch_body	other	fallback:other	0.5	1
4	abrasion_with_beauty	other	fallback:other	0.5	1
5	accidental_schlock_masterpiece	other	fallback:other	0.5	1
6	action_thriller	genre	label_contains:genre_keyword	0.6	1
7	adventure_film	other	fallback:other	0.5	1
8	aesthete_stardom_metaphor	other	fallback:other	0.5	1
9	agonized_braying_vocal	other	fallback:other	0.5	1
10	aids_crisis	other	fallback:other	0.5	1
11	aip_corman	other	fallback:other	0.5	1
12	alien_body_horror	genre	label_contains:genre_keyword	0.6	1
13	alien_invasion	other	fallback:other	0.5	1
14	alien_persona	other	fallback:other	0.5	1
15	alien_punk	style	label_contains:music_style_keyword	0.6	1
16	alienness_made_familiar	other	fallback:other	0.5	1
17	all_business_pure_dream	theme	label_contains:theme_keyword	0.55	1
18	all_glitter_no_grease	other	fallback:other	0.5	1
19	alleged_american_sheen	other	fallback:other	0.5	1
20	alternative_metal	style	label_contains:music_style_keyword	0.6	1
21	alternative_rock	style	label_contains:music_style_keyword	0.6	1
22	amateur_noise_to_proposition	other	fallback:other	0.5	1
23	amateurism_as_method	other	fallback:other	0.5	1
24	american_giallo_adjacent	other	fallback:other	0.5	1
25	american_hardcore	other	fallback:other	0.5	1
26	amnesia_thriller	genre	label_contains:genre_keyword	0.6	1
27	amoralcore	other	fallback:other	0.5	1
28	amorphous_synth_soundscape	other	fallback:other	0.5	1
29	anarcho_punk	style	label_contains:music_style_keyword	0.6	1
30	anger_rhythm_compact	other	fallback:other	0.5	1
31	animal_attack	other	fallback:other	0.5	1
32	animal_revenge	theme	label_contains:theme_keyword	0.55	1
33	animal_title_giallo	other	fallback:other	0.5	1
34	animation_horror_adjacent	genre	label_contains:genre_keyword	0.6	1
35	anomalous_vocal_collision	other	fallback:other	0.5	1
36	anyone_can_band_feminist_takeover	other	fallback:other	0.5	1
37	anything_for_a_scare	other	fallback:other	0.5	1
38	apocalyptic_noir	genre	label_contains:genre_keyword	0.6	1
39	apocalyptic_progressive_horror	genre	label_contains:genre_keyword	0.6	1
40	apostolic_horror	genre	label_contains:genre_keyword	0.6	1
41	archaeology_horror	genre	label_contains:genre_keyword	0.6	1
42	archaic_mother	other	fallback:other	0.5	1
43	arena_spectacle	other	fallback:other	0.5	1
44	art_glam	other	fallback:other	0.5	1
45	art_house_psychological_horror_sound	genre	label_contains:genre_keyword	0.6	1
46	art_psychedelia	other	fallback:other	0.5	1
47	art_punk	style	label_contains:music_style_keyword	0.6	1
48	art_rock	style	label_contains:music_style_keyword	0.6	1
49	artificial_life	other	fallback:other	0.5	1
50	artificial_monster	other	fallback:other	0.5	1
51	artist_autonomy	other	fallback:other	0.5	1
52	artist_killer_exploitation	other	fallback:other	0.5	1
53	atomic_age	other	fallback:other	0.5	1
54	atomic_monster	other	fallback:other	0.5	1
55	atomic_noir	genre	label_contains:genre_keyword	0.6	1
56	audience_electrified_horror	genre	label_contains:genre_keyword	0.6	1
57	avant_garage_polyhedron	other	fallback:other	0.5	1
58	awesome_in_small_doses	other	fallback:other	0.5	1
59	b_noir	genre	label_contains:genre_keyword	0.6	1
60	backwoods_slasher	other	fallback:other	0.5	1
61	bad_girl_confessional	other	fallback:other	0.5	1
62	banality_with_inconceivable_terror	other	fallback:other	0.5	1
63	band_formation_context	other	fallback:other	0.5	1
64	barked_sweet_melody	other	fallback:other	0.5	1
65	baroque_trash_sensibility	other	fallback:other	0.5	1
66	barrandov_context	other	fallback:other	0.5	1
67	basic_punk_template	style	label_contains:music_style_keyword	0.6	1
68	bava_gothic	other	fallback:other	0.5	1
69	beat_jazz_context	style	label_contains:music_style_keyword	0.6	1
70	beautiful_noise	other	fallback:other	0.5	1
71	beauty_to_hysterical_comedy	genre	label_contains:genre_keyword	0.6	1
72	bebop	other	fallback:other	0.5	1
73	beer_paid_cast_exploitation	other	fallback:other	0.5	1
74	beloved_british_overachiever	other	fallback:other	0.5	1
75	berlin_cold_war	other	fallback:other	0.5	1
76	berlin_wall_context	other	fallback:other	0.5	1
77	black_comedy_to_icy_horror	genre	label_contains:genre_keyword	0.6	1
78	black_gloves	other	fallback:other	0.5	1
79	black_horror	genre	label_contains:genre_keyword	0.6	1
80	blaxploitation_action	other	fallback:other	0.5	1
81	blaxploitation_gothic_rewrite	other	fallback:other	0.5	1
82	blaxploitation_horror	genre	label_contains:genre_keyword	0.6	1
83	blood_as_paint	other	fallback:other	0.5	1
84	blues	other	fallback:other	0.5	1
85	blues_rock	style	label_contains:music_style_keyword	0.6	1
86	body_count	other	fallback:other	0.5	1
87	body_genre	other	fallback:other	0.5	1
88	body_horror	genre	label_contains:genre_keyword	0.6	1
89	body_mutation	other	fallback:other	0.5	1
90	boogie_to_punk_bridge	style	label_contains:music_style_keyword	0.6	1
91	breakdown_machine_rock	style	label_contains:music_style_keyword	0.6	1
92	british_kaiju_melodrama	genre	label_contains:genre_keyword	0.6	1
93	british_noir	genre	label_contains:genre_keyword	0.6	1
94	british_psychothriller	genre	label_contains:genre_keyword	0.6	1
95	brute_rage_with_mock_strings	other	fallback:other	0.5	1
96	budget_ambition_gap	other	fallback:other	0.5	1
97	buzzsaw_sax_punk	style	label_contains:music_style_keyword	0.6	1
98	cabaret_rock	style	label_contains:music_style_keyword	0.6	1
99	calculated_suspense_dissipation	other	fallback:other	0.5	1
100	camp_reception	other	fallback:other	0.5	1
101	camp_slasher	other	fallback:other	0.5	1
102	camp_spectacle	other	fallback:other	0.5	1
103	campus_slasher	other	fallback:other	0.5	1
104	canadian_small_town_demon	other	fallback:other	0.5	1
105	candied_exploitation	other	fallback:other	0.5	1
106	cannibal_horror	genre	label_contains:genre_keyword	0.6	1
107	cannibalism_as_possessiveness	other	fallback:other	0.5	1
108	capitalist_family_endgame	other	fallback:other	0.5	1
109	carnival_noir	genre	label_contains:genre_keyword	0.6	1
110	casio_authenticity_failure	other	fallback:other	0.5	1
111	castor_oil_for_the_ears	other	fallback:other	0.5	1
112	cat_in_heat_yowl	other	fallback:other	0.5	1
113	cathartic_body_beat	other	fallback:other	0.5	1
114	cathartic_tribal_punk	style	label_contains:music_style_keyword	0.6	1
115	catholic_recruiting_image	other	fallback:other	0.5	1
116	cbgb_context	other	fallback:other	0.5	1
117	celtic_punk	style	label_contains:music_style_keyword	0.6	1
118	censorship_context	other	fallback:other	0.5	1
119	charged_rock_n_rage	style	label_contains:music_style_keyword	0.6	1
120	cheapjack_tactility	other	fallback:other	0.5	1
121	chicago_blues	other	fallback:other	0.5	1
122	child_menace_thriller	genre	label_contains:genre_keyword	0.6	1
123	child_monster_of_nuclear_family	other	fallback:other	0.5	1
124	christian_rock	style	label_contains:music_style_keyword	0.6	1
125	civil_defense_collective_solidarity	other	fallback:other	0.5	1
126	civil_rights_context	other	fallback:other	0.5	1
127	civilization_condemning_itself	other	fallback:other	0.5	1
128	class_as_split_identity	theme	label_contains:theme_keyword	0.55	1
129	classic_to_underground_bridge	other	fallback:other	0.5	1
130	clay_body_horror	genre	label_contains:genre_keyword	0.6	1
131	clean_proper_body_boundary	other	fallback:other	0.5	1
132	cleveland_to_new_york_extremity	other	fallback:other	0.5	1
133	clunky_hugely_entertaining	other	fallback:other	0.5	1
134	cockeyed_rhythm	other	fallback:other	0.5	1
135	coded_naturalism	other	fallback:other	0.5	1
136	cold_art_rock	style	label_contains:music_style_keyword	0.6	1
137	cold_digital_dugga	other	fallback:other	0.5	1
138	cold_war	other	fallback:other	0.5	1
139	cold_war_genre_collision	other	fallback:other	0.5	1
140	collective_nightmare	other	fallback:other	0.5	1
141	color_gothic	other	fallback:other	0.5	1
142	comedy_drama	genre	label_contains:genre_keyword	0.6	1
143	comedy_film	genre	label_contains:genre_keyword	0.6	1
144	comic_horror_tension_mix	genre	label_contains:genre_keyword	0.6	1
145	commandment_storytelling	other	fallback:other	0.5	1
146	commercial_grain_iconoclasm	other	fallback:other	0.5	1
147	competitive_arrangement	other	fallback:other	0.5	1
148	confessional_rock	style	label_contains:music_style_keyword	0.6	1
149	confusion_alienation_betrayal	theme	label_contains:theme_keyword	0.55	1
150	contemporary_rnb	other	fallback:other	0.5	1
151	cool_jazz	style	label_contains:music_style_keyword	0.6	1
152	coordination_over_inspired_chaos	other	fallback:other	0.5	1
153	corman_poe_cycle	other	fallback:other	0.5	1
154	corporeal_drummer_electronics	style	label_contains:music_style_keyword	0.6	1
155	counterculture	other	fallback:other	0.5	1
156	counterculture_ecological_doom	other	fallback:other	0.5	1
157	country_music	other	fallback:other	0.5	1
158	country_punk_bridge	style	label_contains:music_style_keyword	0.6	1
159	country_rock	style	label_contains:music_style_keyword	0.6	1
160	courage_conviction_punk	style	label_contains:music_style_keyword	0.6	1
161	cover_album	other	fallback:other	0.5	1
162	creator_transition_node	other	fallback:other	0.5	1
163	creepy_drive_in_gem	other	fallback:other	0.5	1
164	crime_comedy	genre	label_contains:genre_keyword	0.6	1
165	crime_drama	genre	label_contains:genre_keyword	0.6	1
166	crime_thriller	genre	label_contains:genre_keyword	0.6	1
167	critical_failure_as_form	other	fallback:other	0.5	1
168	cross_gender_identification	other	fallback:other	0.5	1
169	cryptid_docudrama	genre	label_contains:genre_keyword	0.6	1
170	crystal_clear_cloddishness	other	fallback:other	0.5	1
171	cult_afterlife_rescue	other	fallback:other	0.5	1
172	cult_film_discourse	other	fallback:other	0.5	1
173	cult_hero_status_risk	other	fallback:other	0.5	1
174	cult_horror	genre	label_contains:genre_keyword	0.6	1
175	cult_musical	other	fallback:other	0.5	1
176	czech_new_wave_uncanny	other	fallback:other	0.5	1
177	czech_surrealist_animation	other	fallback:other	0.5	1
178	czechoslovak_surrealism	other	fallback:other	0.5	1
179	damaged_sound_aesthetic	other	fallback:other	0.5	1
180	dance_rock	style	label_contains:music_style_keyword	0.6	1
181	dandy_artifice	other	fallback:other	0.5	1
182	dark_animation	other	fallback:other	0.5	1
183	dark_cul_de_sac_answers	other	fallback:other	0.5	1
184	dark_fairy_tale	other	fallback:other	0.5	1
185	dark_psychedelia	other	fallback:other	0.5	1
186	dead_serious_political_commitment	other	fallback:other	0.5	1
187	deadpan_synth_monotony	other	fallback:other	0.5	1
188	death_art	other	fallback:other	0.5	1
189	deathrock	style	label_contains:music_style_keyword	0.6	1
190	deliberate_rotten_phoniness	other	fallback:other	0.5	1
191	delta_blues	other	fallback:other	0.5	1
192	detroit_punk	style	label_contains:music_style_keyword	0.6	1
193	disaster_as_inadequate_response	other	fallback:other	0.5	1
194	distribution_context	other	fallback:other	0.5	1
195	diy_distribution	other	fallback:other	0.5	1
196	diy_infrastructure	other	fallback:other	0.5	1
197	documentary_explicitness	other	fallback:other	0.5	1
198	documentary_noir	genre	label_contains:genre_keyword	0.6	1
199	domestic_gothic_thriller	genre	label_contains:genre_keyword	0.6	1
200	domestic_uncanny	other	fallback:other	0.5	1
201	doom_metal	style	label_contains:music_style_keyword	0.6	1
202	doppelganger	other	fallback:other	0.5	1
203	downed_out_hardcore	other	fallback:other	0.5	1
204	dracula	other	fallback:other	0.5	1
205	drama_film	genre	label_contains:genre_keyword	0.6	1
206	dramatic_melody_overlay	genre	label_contains:genre_keyword	0.6	1
207	dream_noir	genre	label_contains:genre_keyword	0.6	1
208	dream_pop	theme	label_contains:theme_keyword	0.55	1
209	drive_in	other	fallback:other	0.5	1
210	drive_in_culture	other	fallback:other	0.5	1
211	durable_killer_kid_slasher	other	fallback:other	0.5	1
212	early_serial_killer_thriller	genre	label_contains:genre_keyword	0.6	1
213	early_white_punk_reggae	style	label_contains:music_style_keyword	0.6	1
214	eastern_bloc_cinema	other	fallback:other	0.5	1
215	eco_horror	genre	label_contains:genre_keyword	0.6	1
216	ecological_horror	genre	label_contains:genre_keyword	0.6	1
217	edgar_wallace_krimi	other	fallback:other	0.5	1
218	effects_packed_mashup	other	fallback:other	0.5	1
219	eight_bottles_stage_blood	other	fallback:other	0.5	1
220	eighteenth_century_general_vocal	other	fallback:other	0.5	1
221	eighties_junk_food_cinema	other	fallback:other	0.5	1
222	electronic_art_rock	style	label_contains:music_style_keyword	0.6	1
223	electronic_body_music	style	label_contains:music_style_keyword	0.6	1
224	electronic_music_surrealism	style	label_contains:music_style_keyword	0.6	1
225	emerging_instrumental_smarts	other	fallback:other	0.5	1
226	entertaining_horror_hash	genre	label_contains:genre_keyword	0.6	1
227	erotic_gothic	other	fallback:other	0.5	1
228	ethereal_synth_depression	other	fallback:other	0.5	1
229	euro_exploitation	other	fallback:other	0.5	1
230	euro_fantastique	other	fallback:other	0.5	1
231	euro_gothic	other	fallback:other	0.5	1
232	existential_punk	style	label_contains:music_style_keyword	0.6	1
233	exorcism_without_morbidity	other	fallback:other	0.5	1
234	expanded_hardcore_possibilities	other	fallback:other	0.5	1
235	expensive_family_horror	genre	label_contains:genre_keyword	0.6	1
236	exploding_egg_gore	other	fallback:other	0.5	1
237	exploitation_everything_at_once	other	fallback:other	0.5	1
238	exploitation_market	other	fallback:other	0.5	1
239	expressionist_horror	genre	label_contains:genre_keyword	0.6	1
240	extensive_not_intensive_disaster	other	fallback:other	0.5	1
241	externalized_womb	other	fallback:other	0.5	1
242	fake_supernatural	other	fallback:other	0.5	1
243	falklands_indictment	other	fallback:other	0.5	1
244	falsetto_tenor_duality	other	fallback:other	0.5	1
245	family_adventure	other	fallback:other	0.5	1
246	family_as_master_figure	other	fallback:other	0.5	1
247	family_cannibalism	other	fallback:other	0.5	1
248	family_disintegration_zombie	other	fallback:other	0.5	1
249	family_drama	genre	label_contains:genre_keyword	0.6	1
250	family_horror	genre	label_contains:genre_keyword	0.6	1
251	family_produces_monster	other	fallback:other	0.5	1
252	fan_magazine_culture	other	fallback:other	0.5	1
253	fantastic_everyday_integration	other	fallback:other	0.5	1
254	fantasy_normalizes_unbearable	other	fallback:other	0.5	1
255	fanzine_gorehound_cult	other	fallback:other	0.5	1
256	fashion_giallo	other	fallback:other	0.5	1
257	fashion_murder	other	fallback:other	0.5	1
258	fast_punk_social_conscience	style	label_contains:music_style_keyword	0.6	1
259	fear_made_physical	other	fallback:other	0.5	1
260	fear_of_generative_power	other	fallback:other	0.5	1
261	female_desire_as_monstrosity	other	fallback:other	0.5	1
262	female_dream_bond	theme	label_contains:theme_keyword	0.55	1
263	female_phase_rock	style	label_contains:music_style_keyword	0.6	1
264	female_rage	other	fallback:other	0.5	1
265	feminist_punk	style	label_contains:music_style_keyword	0.6	1
266	figure_eight_horror	genre	label_contains:genre_keyword	0.6	1
267	film_noir	genre	label_contains:genre_keyword	0.6	1
268	film_studio_founding	other	fallback:other	0.5	1
269	film_title_song	other	fallback:other	0.5	1
270	final_girl	other	fallback:other	0.5	1
271	flashback_noir	genre	label_contains:genre_keyword	0.6	1
272	folk_grotesque	style	label_contains:music_style_keyword	0.6	1
273	folk_horror	genre	label_contains:genre_keyword	0.6	1
274	folk_music	style	label_contains:music_style_keyword	0.6	1
275	folk_rock	style	label_contains:music_style_keyword	0.6	1
276	forensic_horror	genre	label_contains:genre_keyword	0.6	1
277	forgotten_scifi_trash_opus	other	fallback:other	0.5	1
278	formal_invention_covers_confusion	other	fallback:other	0.5	1
279	formula_as_folklore	style	label_contains:music_style_keyword	0.6	1
280	found_footage	other	fallback:other	0.5	1
281	foxcore	other	fallback:other	0.5	1
282	franchise_monster	other	fallback:other	0.5	1
283	frankenstein_cycle	other	fallback:other	0.5	1
284	freakbeat	other	fallback:other	0.5	1
285	free_jazz	style	label_contains:music_style_keyword	0.6	1
286	french_house	other	fallback:other	0.5	1
287	friday_night_vhs_hybrid	other	fallback:other	0.5	1
288	fully_formed_eclectic_aesthetic	other	fallback:other	0.5	1
289	fun_endearing_shortcomings	other	fallback:other	0.5	1
290	g_rated_bigfoot_horror	genre	label_contains:genre_keyword	0.6	1
291	garage_riff_rock	style	label_contains:music_style_keyword	0.6	1
292	garage_rock	style	label_contains:music_style_keyword	0.6	1
293	gaslight_thriller	genre	label_contains:genre_keyword	0.6	1
294	gein_close_depiction	other	fallback:other	0.5	1
295	genre_escape_failure	genre	label_prefix:genre_	0.65	1
296	geopolitical_shock	other	fallback:other	0.5	1
297	german_expressionism	other	fallback:other	0.5	1
298	german_underground_horror	genre	label_contains:genre_keyword	0.6	1
299	giallo	other	fallback:other	0.5	1
300	giant_creature	other	fallback:other	0.5	1
301	giddy_genre_shifts	other	fallback:other	0.5	1
302	gimmick_horror_to_end_gimmicks	genre	label_contains:genre_keyword	0.6	1
303	glam_gender_play	other	fallback:other	0.5	1
304	glam_hard_rock	style	label_contains:music_style_keyword	0.6	1
305	glam_populist_breakthrough	other	fallback:other	0.5	1
306	glam_rock	style	label_contains:music_style_keyword	0.6	1
307	glam_stomp	other	fallback:other	0.5	1
308	glam_theatricality	other	fallback:other	0.5	1
309	glam_to_punk_bridge	style	label_contains:music_style_keyword	0.6	1
310	global_folk_as_rock	style	label_contains:music_style_keyword	0.6	1
311	glorious_battle_anthem	other	fallback:other	0.5	1
312	glum_anesthesia	other	fallback:other	0.5	1
313	glum_sonic_novelty	other	fallback:other	0.5	1
314	good_manners_blown_apart	other	fallback:other	0.5	1
315	goth_rock	style	label_contains:music_style_keyword	0.6	1
316	gothic_fairy_tale	other	fallback:other	0.5	1
317	gothic_horror	genre	label_contains:genre_keyword	0.6	1
318	gothic_monster	other	fallback:other	0.5	1
319	gothic_noir	genre	label_contains:genre_keyword	0.6	1
320	gothic_revival	other	fallback:other	0.5	1
321	gothic_seriousness_without_feeling	other	fallback:other	0.5	1
322	gr_ob_circle	other	fallback:other	0.5	1
323	graveyard_theatricality	other	fallback:other	0.5	1
324	gray_market_breathless_reputation	other	fallback:other	0.5	1
325	grindhouse_circuit	other	fallback:other	0.5	1
326	gross_genre_legitimacy	other	fallback:other	0.5	1
327	group_not_backing_band	other	fallback:other	0.5	1
328	grubby_foul_tempered_horror	genre	label_contains:genre_keyword	0.6	1
329	grunge	other	fallback:other	0.5	1
330	hammer_gothic	other	fallback:other	0.5	1
